layer,source,dim,rows_fit,lambda,r2,r2_vv,r2_vh,r2_diff
3,netH_trained,512,390144,0.01,0.212239,0.171501,0.238234,0.251364
3,netH_random,512,390144,0.01,0.125918,0.068555,0.153008,0.206853
3,teacher_G2,512,390144,10,0.976713,0.982095,0.979828,0.953748
3,raw_optical,3,390144,10,0.064593,0.003750,0.090596,0.157861
4,netH_trained,1024,97536,1,0.285962,0.238007,0.304614,0.373262
4,netH_random,1024,97536,0.01,0.153934,0.082362,0.177036,0.299200
4,teacher_G2,1024,97536,0.01,0.968001,0.968526,0.972504,0.952165
4,raw_optical,3,97536,1,0.081493,0.003108,0.108467,0.235299
5,netH_trained,1024,24384,1,0.297055,0.237929,0.311620,0.427935
5,netH_random,1024,24384,0.01,0.158967,0.073954,0.184028,0.333772
5,teacher_G2,1024,24384,100,0.931870,0.927503,0.938878,0.922271
5,raw_optical,3,24384,0.1,0.099603,0.002825,0.127528,0.300562
6,netH_trained,1024,6096,10,0.260914,0.188688,0.277892,0.418879
6,netH_random,1024,6096,0.01,0.147090,0.065301,0.168407,0.319237
6,teacher_G2,1024,6096,10,0.873993,0.869390,0.884896,0.852447
6,raw_optical,3,6096,0.01,0.113152,0.000962,0.137549,0.364886
7,netH_trained,1024,1524,100,0.122629,0.025837,0.148438,0.323173
7,netH_random,1024,1524,0.01,0.093164,0.007007,0.104147,0.310715
7,teacher_G2,1024,1524,100,0.705766,0.707183,0.733853,0.610147
7,raw_optical,3,1524,0.01,0.123468,-0.000704,0.146885,0.412301
