device=cuda
tiles=29117  micro-batches/epoch=909  opt-steps/epoch=909
eff_batch=32 (batch 32 x accum 1)  base_lr=1.87e-05  warmup=909  total_steps=45450  recon=l2  augment=True

==============================================================================
run started 2026-07-28 12:15:12
args: {'data_root': '../SEN12MSCR/ROIs1158_spring_s2', 'pattern': '**/*.tif', 'img_size': 256, 'patch_size': 16, 'model_size': 'small', 'batch_size': 128, 'accum_steps': 4, 'epochs': 100, 'max_steps': 0, 'lr': 0.00015, 'no_lr_scaling': False, 'weight_decay': 0.05, 'warmup_steps': 0, 'recon_loss': 'l1', 'no_muon': False, 'muon_lr': 0.02, 'cmmd_weight': 0.0, 'cmmd_sigma': 0.0, 'norm_pix_loss': True, 'augment': True, 'no_normalize': False, 'val_fraction': 0.05, 'eval_every': 250, 'eval_batches': 16, 'num_workers': 16, 'amp': True, 'out': 'mae_backbone_small.pt', 'ckpt_every': 500, 'resume': '', 'log_file': 'train_log.txt'}
device=cuda
tiles=27661  val_tiles=1456  micro-batches/epoch=216  opt-steps/epoch=54
eff_batch=512 (batch 128 x accum 4)  base_lr=3.00e-04  muon_lr=4.00e-02 (muon=True)  warmup=54  total_steps=5400  recon=l1  norm_pix_loss=True  cmmd_weight=0.0  augment=True  normalize=True
model_size=small  encoder=21.6M  decoder=3.5M  mask_ratio=0.75
muon params=24.4M  adamw params=0.7M
epoch   0 | step     0/5400 | loss 0.9215 | lr 5.56e-06 | 0.2 opt-it/s
epoch   0 | step    20/5400 | loss 0.7054 | lr 1.17e-04 | 0.5 opt-it/s
epoch   0 | step    40/5400 | loss 0.5675 | lr 2.28e-04 | 0.6 opt-it/s
epoch   1 | step    60/5400 | loss 0.5123 | lr 3.00e-04 | 0.6 opt-it/s
epoch   1 | step    80/5400 | loss 0.4845 | lr 3.00e-04 | 0.6 opt-it/s
epoch   1 | step   100/5400 | loss 0.4562 | lr 3.00e-04 | 0.5 opt-it/s
epoch   2 | step   120/5400 | loss 0.4768 | lr 3.00e-04 | 0.5 opt-it/s
epoch   2 | step   140/5400 | loss 0.4564 | lr 3.00e-04 | 0.5 opt-it/s
epoch   2 | step   160/5400 | loss 0.4479 | lr 3.00e-04 | 0.5 opt-it/s
epoch   3 | step   180/5400 | loss 0.4407 | lr 3.00e-04 | 0.5 opt-it/s
epoch   3 | step   200/5400 | loss 0.4089 | lr 2.99e-04 | 0.5 opt-it/s
epoch   4 | step   220/5400 | loss 0.4512 | lr 2.99e-04 | 0.5 opt-it/s
epoch   4 | step   240/5400 | loss 0.4406 | lr 2.99e-04 | 0.5 opt-it/s
  VAL step   250 | loss 0.4351 | psnr_norm 3.36dB | psnr_pix 31.15dB | ssim 0.8773  <-- best
epoch   4 | step   260/5400 | loss 0.4152 | lr 2.99e-04 | 0.5 opt-it/s
epoch   5 | step   280/5400 | loss 0.4404 | lr 2.99e-04 | 0.5 opt-it/s
epoch   5 | step   300/5400 | loss 0.4430 | lr 2.98e-04 | 0.5 opt-it/s
epoch   5 | step   320/5400 | loss 0.4093 | lr 2.98e-04 | 0.5 opt-it/s
epoch   6 | step   340/5400 | loss 0.4505 | lr 2.98e-04 | 0.5 opt-it/s
epoch   6 | step   360/5400 | loss 0.4304 | lr 2.98e-04 | 0.5 opt-it/s
epoch   7 | step   380/5400 | loss 0.4156 | lr 2.97e-04 | 0.5 opt-it/s
